MARKET_COUPONS,YEAR,QUARTER,ORIGIN,DEST,REPORTING_CARRIER,TICKET_CARRIER,OPERATING_CARRIER,PASSENGERS,MARKET_FARE,MARKET_DISTANCE,NONSTOP_MILES
2,2023,1,SGF,MKE,MQ,AA,99,1.0,353.0,505.0,489.0
2,2023,1,SGF,MKE,MQ,AA,99,1.0,403.0,505.0,489.0
2,2023,1,SGF,MKE,MQ,AA,99,1.0,418.0,505.0,489.0
2,2023,1,SGF,MKE,MQ,AA,99,1.0,233.5,505.0,489.0
2,2023,1,MKE,SGF,MQ,AA,MQ,1.0,233.5,505.0,489.0
2,2023,1,SGF,MKE,MQ,AA,99,1.0,253.0,505.0,489.0
2,2023,1,MKE,SGF,MQ,AA,99,1.0,253.0,505.0,489.0
2,2023,1,SGF,MSN,MQ,AA,MQ,1.0,266.0,546.0,460.0
2,2023,1,SGF,MSN,MQ,AA,MQ,1.0,439.0,546.0,460.0
2,2023,1,SGF,MSN,MQ,AA,MQ,1.0,175.69,546.0,460.0
2,2023,1,MSN,SGF,MQ,AA,99,1.0,381.31,1185.0,460.0
2,2023,1,SGF,MSN,MQ,AA,MQ,1.0,245.0,546.0,460.0
2,2023,1,MSN,SGF,MQ,AA,MQ,1.0,245.0,546.0,460.0
2,2023,1,SGF,MSN,MQ,AA,MQ,1.0,264.0,546.0,460.0
2,2023,1,MSN,SGF,MQ,AA,MQ,1.0,264.0,546.0,460.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,328.0,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,397.0,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,446.0,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,MQ,1.0,488.0,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,493.0,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,493.0,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,543.0,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,200.77,772.0,527.0
2,2023,1,MSP,SGF,MQ,AA,99,1.0,316.23,1216.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,293.19,772.0,527.0
2,2023,1,MSP,SGF,MQ,AA,99,1.0,461.81,1216.0,527.0
2,2023,1,SGF,MSP,MQ,AA,MQ,1.0,333.19,772.0,527.0
2,2023,1,MSP,SGF,MQ,AA,99,1.0,524.81,1216.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,383.67,772.0,527.0
2,2023,1,MSP,SGF,MQ,AA,99,1.0,604.33,1216.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,5.5,772.0,527.0
2,2023,1,MSP,SGF,MQ,AA,99,1.0,5.5,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,276.0,772.0,527.0
2,2023,1,MSP,SGF,MQ,AA,99,1.0,276.0,772.0,527.0
2,2023,1,SGF,MSP,MQ,AA,99,1.0,294.0,772.0,527.0
2,2023,1,MSP,SGF,MQ,AA,99,1.0,294.0,772.0,527.0
1,2023,1,SGF,ORD,MQ,AA,MQ,1.0,76.78,438.0,438.0
1,2023,1,ORD,MSY,MQ,AA,AA,1.0,146.72,837.0,837.0
2,2023,1,MSY,SGF,MQ,AA,MQ,1.0,223.5,1275.0,531.0
1,2023,1,SGF,ORD,MQ,AA,MQ,1.0,113.57,438.0,438.0
1,2023,1,ORD,OMA,MQ,AA,MQ,1.0,107.87,416.0,416.0
