ORIGIN,DEST,TOTAL_DB1B_PASSENGERS,TOTAL_FARE_WEIGHT,DB1B_RECORDS,AVG_FARE
ABE,ABI,2.0,736.27,2,368.135
ABE,AMA,1.0,338.0,1,338.0
ABE,ATW,1.0,262.34,1,262.34
ABE,AUS,1.0,375.95,1,375.95
ABE,BMI,3.0,1700.5,3,566.8333333333334
ABE,BNA,1.0,722.0,1,722.0
ABE,CID,1.0,204.73,1,204.73
ABE,CLE,1.0,229.0,1,229.0
ABE,CRP,1.0,246.07,1,246.07
ABE,CVG,1.0,220.11,1,220.11
ABE,CWA,2.0,712.65,2,356.325
ABE,DEN,2.0,438.27,2,219.135
ABE,DFW,8.0,2140.45,8,267.55625
ABE,EGE,4.0,1561.5,4,390.375
ABE,FAR,2.0,668.0,2,334.0
ABE,FAT,1.0,363.0,1,363.0
ABE,FSD,1.0,214.0,1,214.0
ABE,GRB,1.0,5.0,1,5.0
ABE,GRR,2.0,559.0,2,279.5
ABE,GSP,1.0,215.42,1,215.42
ABE,HHH,2.0,436.0,2,218.0
ABE,IAH,1.0,351.41,1,351.41
ABE,IND,1.0,211.83,1,211.83
ABE,LAS,5.0,1861.98,5,372.396
ABE,LAX,6.0,1607.8,6,267.96666666666664
ABE,MCI,4.0,1172.4,4,293.1
ABE,MEM,1.0,311.0,1,311.0
ABE,MIA,1.0,193.93,1,193.93
ABE,MKE,3.0,1103.0,3,367.6666666666667
ABE,MLI,1.0,202.5,1,202.5
ABE,MRY,1.0,614.85,1,614.85
ABE,MSN,2.0,638.0,2,319.0
ABE,MSY,2.0,729.3299999999999,2,364.66499999999996
ABE,MWA,1.0,1362.18,1,1362.18
ABE,OMA,1.0,316.94,1,316.94
ABE,ORD,82.0,16557.37,61,201.9191463414634
ABE,PHX,18.0,7157.26,18,397.6255555555556
ABE,SAT,5.0,1294.53,5,258.906
ABE,SGF,8.0,2400.77,8,300.09625
ABE,SJC,1.0,300.0,1,300.0
ABE,SLC,2.0,527.22,2,263.61
ABE,SMF,1.0,368.98,1,368.98
ABE,SNA,1.0,456.0,1,456.0
ABE,STL,2.0,500.24,2,250.12
ABE,TUS,4.0,1195.23,4,298.8075
ABE,TVC,1.0,177.74,1,177.74
ABE,XNA,7.0,2737.85,7,391.12142857142857
ABI,ABQ,5.0,1166.5,5,233.3
ABI,AGS,2.0,1127.48,2,563.74
ABI,ALB,4.0,1831.7,4,457.925
ABI,AMA,2.0,239.0,2,119.5
ABI,ANC,6.0,2604.04,6,434.00666666666666
ABI,ASE,3.0,583.5,2,194.5
ABI,ATL,23.0,7798.5,22,339.0652173913044
ABI,ATW,2.0,1147.6100000000001,2,573.8050000000001
ABI,AUS,4.0,908.0,4,227.0
ABI,BDL,3.0,1175.26,3,391.75333333333333
ABI,BFL,3.0,865.5,3,288.5
ABI,BGR,2.0,1184.0,2,592.0
ABI,BIL,2.0,964.5,2,482.25
ABI,BIS,4.0,2440.5,4,610.125
ABI,BMI,1.0,450.5,1,450.5
ABI,BNA,34.0,9352.5,20,275.0735294117647
ABI,BOI,5.0,1978.0,3,395.6
ABI,BOS,7.0,2074.48,7,296.3542857142857
ABI,BRO,2.0,291.0,2,145.5
ABI,BTR,2.0,929.0,2,464.5
ABI,BUR,5.0,875.15,5,175.03
ABI,BWI,7.0,2397.5,6,342.5
ABI,BZN,1.0,712.0,1,712.0
