FLIGHT_ID,FlightDate,Flight_Number_Reporting_Airline,Origin,Dest,DEP_REFERENCE_TIME,ARR_REFERENCE_TIME,CRSDepTime,CRSArrTime,Departure_slot,Arrival_slot,Model_Departure_Bucket_Datetime,Model_Arrival_Bucket_Datetime,Distance,Assigned_Aircraft,Operating_Cost,Spill_Cost,Total_Assignment_Cost,Cost_Check_Diff,Average_Pax_Per_Flight,Aircraft_Capacity,Average_Seat_Slack
F00001,2023-01-01,3471,BOS,ORD,2023-01-01 04:20:00-06:00,2023-01-01 07:19:00-06:00,520,719,17,29,2023-01-01 04:15:00,2023-01-01 07:15:00,867.0,ERJ175,6985.016369250598,0.0,6985.016369250598,0.0,65.425,76,10.575000000000003
F00002,2023-01-01,3630,LIT,DCA,2023-01-01 05:52:00-06:00,2023-01-01 08:14:00-06:00,552,914,23,32,2023-01-01 05:45:00,2023-01-01 08:00:00,888.0,ERJ175,7154.203616948709,0.0,7154.203616948709,0.0,37.833333333333336,76,38.166666666666664
F00003,2023-01-01,4019,AUS,ORD,2023-01-01 06:00:00-06:00,2023-01-01 08:42:00-06:00,600,842,24,34,2023-01-01 06:00:00,2023-01-01 08:30:00,977.0,ERJ175,7871.235285764515,0.0,7871.235285764515,0.0,63.48275862068966,76,12.517241379310342
F00004,2023-01-01,3686,GSP,MIA,2023-01-01 05:00:00-06:00,2023-01-01 06:59:00-06:00,600,759,20,27,2023-01-01 05:00:00,2023-01-01 06:45:00,637.0,ERJ175,5132.013180176044,0.0,5132.013180176044,0.0,63.483870967741936,76,12.516129032258064
F00005,2023-01-01,3845,XNA,MIA,2023-01-01 06:00:00-06:00,2023-01-01 08:43:00-06:00,600,943,24,34,2023-01-01 06:00:00,2023-01-01 08:30:00,1099.0,ERJ175,8854.132629534495,0.0,8854.132629534495,0.0,57.793103448275865,76,18.206896551724135
F00006,2023-01-01,3638,CVG,MIA,2023-01-01 05:03:00-06:00,2023-01-01 07:43:00-06:00,603,843,20,30,2023-01-01 05:00:00,2023-01-01 07:30:00,948.0,ERJ175,7637.595753229027,0.0,7637.595753229027,0.0,63.53225806451613,76,12.467741935483872
F00007,2023-01-01,3354,CHS,MIA,2023-01-01 05:06:00-06:00,2023-01-01 06:45:00-06:00,606,745,20,27,2023-01-01 05:00:00,2023-01-01 06:45:00,489.0,ERJ175,3939.645910684593,0.0,3939.645910684593,0.0,64.05172413793103,76,11.948275862068968
F00008,2023-01-01,3635,MLI,ORD,2023-01-01 06:07:00-06:00,2023-01-01 07:25:00-06:00,607,725,24,29,2023-01-01 06:00:00,2023-01-01 07:15:00,139.0,ERJ170,1179.746768990297,0.0,1179.746768990297,0.0,38.51020408163265,65,26.48979591836735
F00009,2023-01-01,3625,BHM,MIA,2023-01-01 06:10:00-06:00,2023-01-01 08:06:00-06:00,610,906,24,32,2023-01-01 06:00:00,2023-01-01 08:00:00,661.0,ERJ175,5325.370034688172,0.0,5325.370034688172,0.0,58.0,76,18.0
F00010,2023-01-01,4153,GJT,DFW,2023-01-01 07:10:00-06:00,2023-01-01 09:27:00-06:00,610,927,28,37,2023-01-01 07:00:00,2023-01-01 09:15:00,773.0,ERJ175,6227.702022411432,0.0,6227.702022411432,0.0,55.40579710144928,76,20.59420289855072
F00011,2023-01-01,4233,RAP,DFW,2023-01-01 07:10:00-06:00,2023-01-01 09:30:00-06:00,610,930,28,38,2023-01-01 07:00:00,2023-01-01 09:30:00,835.0,ERJ175,6727.207229901094,0.0,6727.207229901094,0.0,65.22950819672131,76,10.770491803278688
F00012,2023-01-01,3702,SAV,MIA,2023-01-01 05:15:00-06:00,2023-01-01 06:46:00-06:00,615,746,21,27,2023-01-01 05:15:00,2023-01-01 06:45:00,440.0,ERJ175,3544.8756660556664,0.0,3544.8756660556664,0.0,57.71111111111111,76,18.28888888888889
F00013,2023-01-01,3655,MRY,DFW,2023-01-01 08:16:00-06:00,2023-01-01 11:39:00-06:00,616,1139,33,46,2023-01-01 08:15:00,2023-01-01 11:30:00,1430.0,ERJ175,11520.845914680916,0.0,11520.845914680916,0.0,53.6,76,22.4
F00014,2023-01-01,3824,XNA,DCA,2023-01-01 06:19:00-06:00,2023-01-01 08:50:00-06:00,619,950,25,35,2023-01-01 06:15:00,2023-01-01 08:45:00,963.0,ERJ175,7758.443787299107,0.0,7758.443787299107,0.0,34.241379310344826,76,41.758620689655174
F00015,2023-01-01,3592,TLH,MIA,2023-01-01 05:23:00-06:00,2023-01-01 06:46:00-06:00,623,746,21,27,2023-01-01 05:15:00,2023-01-01 06:45:00,402.0,ERJ175,3238.727313078132,0.0,3238.727313078132,0.0,42.89010989010989,76,33.10989010989011
F00016,2023-01-01,4035,CMH,DCA,2023-01-01 05:25:00-06:00,2023-01-01 06:50:00-06:00,625,750,21,27,2023-01-01 05:15:00,2023-01-01 06:45:00,323.0,ERJ175,2602.2610003090463,0.0,2602.2610003090463,0.0,35.096774193548384,76,40.903225806451616
F00017,2023-01-01,3670,CMH,MIA,2023-01-01 05:27:00-06:00,2023-01-01 08:15:00-06:00,627,915,21,33,2023-01-01 05:15:00,2023-01-01 08:15:00,990.0,ERJ175,7975.97024862525,0.0,7975.97024862525,0.0,61.96825396825397,76,14.031746031746032
F00018,2023-01-01,4053,BUF,ORD,2023-01-01 05:28:00-06:00,2023-01-01 07:30:00-06:00,628,730,21,30,2023-01-01 05:15:00,2023-01-01 07:30:00,474.0,ERJ175,3818.797876614514,0.0,3818.797876614514,0.0,58.48148148148148,76,17.51851851851852
F00019,2023-01-01,3772,BIS,DFW,2023-01-01 06:30:00-06:00,2023-01-01 09:23:00-06:00,630,923,26,37,2023-01-01 06:30:00,2023-01-01 09:15:00,977.0,ERJ175,7871.235285764515,0.0,7871.235285764515,0.0,59.0,76,17.0
F00020,2023-01-01,3788,CWA,ORD,2023-01-01 06:30:00-06:00,2023-01-01 08:00:00-06:00,630,800,26,32,2023-01-01 06:30:00,2023-01-01 08:00:00,213.0,ERJ145,2258.55606859416,0.0,2258.55606859416,0.0,45.36842105263158,50,4.631578947368418
F00021,2023-01-01,3870,TYS,MIA,2023-01-01 05:30:00-06:00,2023-01-01 07:47:00-06:00,630,847,22,31,2023-01-01 05:30:00,2023-01-01 07:45:00,724.0,ERJ145,7676.9699232965795,4360.505260416667,12037.475183713246,0.0,67.03125,50,-17.03125
F00022,2023-01-01,3886,TYS,ORD,2023-01-01 05:30:00-06:00,2023-01-01 07:27:00-06:00,630,727,22,29,2023-01-01 05:30:00,2023-01-01 07:15:00,475.0,ERJ175,3826.8544122191856,0.0,3826.8544122191856,0.0,45.12244897959184,76,30.877551020408163
F00023,2023-01-01,3453,EYW,DCA,2023-01-01 05:34:00-06:00,2023-01-01 08:19:00-06:00,634,919,22,33,2023-01-01 05:30:00,2023-01-01 08:15:00,1023.0,ERJ175,8241.835923579425,0.0,8241.835923579425,0.0,56.0,76,20.0
F00024,2023-01-01,3508,PNS,MIA,2023-01-01 06:35:00-06:00,2023-01-01 08:13:00-06:00,635,913,26,32,2023-01-01 06:30:00,2023-01-01 08:00:00,530.0,ERJ175,4269.963870476144,0.0,4269.963870476144,0.0,52.2375,76,23.762500000000003
F00025,2023-01-01,3656,LIT,ORD,2023-01-01 06:40:00-06:00,2023-01-01 08:37:00-06:00,640,837,26,34,2023-01-01 06:30:00,2023-01-01 08:30:00,552.0,ERJ175,4447.207653778927,0.0,4447.207653778927,0.0,37.61194029850746,76,38.38805970149254
F00026,2023-01-01,4028,AUS,BNA,2023-01-01 06:45:00-06:00,2023-01-01 08:46:00-06:00,645,846,27,35,2023-01-01 06:45:00,2023-01-01 08:45:00,756.0,ERJ175,6090.740917132009,0.0,6090.740917132009,0.0,42.66666666666666,76,33.33333333333334
F00027,2023-01-01,3615,ICT,ORD,2023-01-01 06:45:00-06:00,2023-01-01 08:44:00-06:00,645,844,27,34,2023-01-01 06:45:00,2023-01-01 08:30:00,588.0,ERJ175,4737.242935547119,0.0,4737.242935547119,0.0,40.55223880597015,76,35.44776119402985
F00028,2023-01-01,4073,CMI,DFW,2023-01-01 06:50:00-06:00,2023-01-01 09:16:00-06:00,650,916,27,37,2023-01-01 06:45:00,2023-01-01 09:15:00,693.0,ERJ145,7348.259885144378,0.0,7348.259885144378,0.0,46.49122807017544,50,3.5087719298245617
F00029,2023-01-01,3540,SGF,ORD,2023-01-01 06:52:00-06:00,2023-01-01 08:40:00-06:00,652,840,27,34,2023-01-01 06:45:00,2023-01-01 08:30:00,438.0,ERJ175,3528.762594846323,0.0,3528.762594846323,0.0,32.03846153846154,76,43.96153846153846
F00030,2023-01-01,3980,GSO,ORD,2023-01-01 05:53:00-06:00,2023-01-01 08:11:00-06:00,653,811,23,32,2023-01-01 05:45:00,2023-01-01 08:00:00,589.0,ERJ145,6245.490724891831,0.0,6245.490724891831,0.0,30.88135593220339,50,19.11864406779661
F00031,2023-01-01,3368,ATW,CLT,2023-01-01 06:54:00-06:00,2023-01-01 09:15:00-06:00,654,1015,27,37,2023-01-01 06:45:00,2023-01-01 09:15:00,742.0,ERJ175,5977.949418666602,0.0,5977.949418666602,0.0,66.66666666666667,76,9.333333333333329
F00032,2023-01-01,3308,CID,ORD,2023-01-01 06:57:00-06:00,2023-01-01 08:14:00-06:00,657,814,27,32,2023-01-01 06:45:00,2023-01-01 08:00:00,196.0,ERJ170,1663.5278181445915,0.0,1663.5278181445915,0.0,43.142857142857146,65,21.857142857142854
F00033,2023-01-01,3674,MHK,ORD,2023-01-01 06:57:00-06:00,2023-01-01 08:55:00-06:00,657,855,27,35,2023-01-01 06:45:00,2023-01-01 08:45:00,501.0,ERJ175,4036.3243379406567,0.0,4036.3243379406567,0.0,30.77586206896552,76,45.22413793103448
F00034,2023-01-01,4227,AUS,RNO,2023-01-01 07:00:00-06:00,2023-01-01 10:47:00-06:00,700,847,28,43,2023-01-01 07:00:00,2023-01-01 10:45:00,1405.0,ERJ175,11319.432524564118,0.0,11319.432524564118,0.0,38.30769230769231,76,37.69230769230769
F00035,2023-01-01,3340,COU,DFW,2023-01-01 07:00:00-06:00,2023-01-01 08:53:00-06:00,700,853,28,35,2023-01-01 07:00:00,2023-01-01 08:45:00,490.0,ERJ145,5195.7393127283485,2416.492746048473,7612.232058776821,0.0,61.323076923076925,50,-11.323076923076925
F00036,2023-01-01,3529,EVV,DFW,2023-01-01 07:00:00-06:00,2023-01-01 09:34:00-06:00,700,934,28,38,2023-01-01 07:00:00,2023-01-01 09:30:00,642.0,ERJ145,6807.478854635918,0.0,6807.478854635918,0.0,36.71794871794872,50,13.282051282051277
F00037,2023-01-01,4016,FNT,ORD,2023-01-01 06:00:00-06:00,2023-01-01 07:30:00-06:00,700,730,24,30,2023-01-01 06:00:00,2023-01-01 07:30:00,223.0,ERJ145,2364.591564772289,0.0,2364.591564772289,0.0,42.8448275862069,50,7.155172413793103
F00038,2023-01-01,3383,GRB,ORD,2023-01-01 07:00:00-06:00,2023-01-01 08:06:00-06:00,700,806,28,32,2023-01-01 07:00:00,2023-01-01 08:00:00,173.0,ERJ175,1393.7806596082507,0.0,1393.7806596082507,0.0,50.907407407407405,76,25.092592592592595
F00039,2023-01-01,3640,GSO,MIA,2023-01-01 06:00:00-06:00,2023-01-01 08:10:00-06:00,700,910,24,32,2023-01-01 06:00:00,2023-01-01 08:00:00,710.0,ERJ175,5720.140279317098,0.0,5720.140279317098,0.0,66.93548387096774,76,9.064516129032256
F00040,2023-01-01,3374,MGM,DFW,2023-01-01 07:00:00-06:00,2023-01-01 09:17:00-06:00,700,917,28,37,2023-01-01 07:00:00,2023-01-01 09:15:00,622.0,ERJ175,5011.1651461059655,0.0,5011.1651461059655,0.0,58.25862068965517,76,17.741379310344833
F00041,2023-01-01,3741,MSN,ORD,2023-01-01 07:00:00-06:00,2023-01-01 08:07:00-06:00,700,807,28,32,2023-01-01 07:00:00,2023-01-01 08:00:00,108.0,ERJ175,870.1058453045728,0.0,870.1058453045728,0.0,53.8,76,22.200000000000003
F00042,2023-01-01,4210,MSP,ORD,2023-01-01 07:00:00-06:00,2023-01-01 08:44:00-06:00,700,844,28,34,2023-01-01 07:00:00,2023-01-01 08:30:00,334.0,ERJ145,3541.585572349527,0.0,3541.585572349527,0.0,49.490566037735846,50,0.5094339622641542
F00043,2023-01-01,3372,ECP,DFW,2023-01-01 07:05:00-06:00,2023-01-01 09:30:00-06:00,705,930,28,38,2023-01-01 07:00:00,2023-01-01 09:30:00,685.0,ERJ175,5518.726889200299,0.0,5518.726889200299,0.0,61.68421052631579,76,14.315789473684212
F00044,2023-01-01,3662,JAX,MIA,2023-01-01 06:10:00-06:00,2023-01-01 07:27:00-06:00,710,827,24,29,2023-01-01 06:00:00,2023-01-01 07:15:00,335.0,ERJ175,2698.93942756511,0.0,2698.93942756511,0.0,49.953125,76,26.046875
F00045,2023-01-01,3879,MLI,DFW,2023-01-01 07:10:00-06:00,2023-01-01 09:35:00-06:00,710,935,28,38,2023-01-01 07:00:00,2023-01-01 09:30:00,691.0,ERJ145,7327.052785908752,2766.759709533268,10093.81249544202,0.0,60.05263157894737,50,-10.05263157894737
F00046,2023-01-01,3864,MOB,DFW,2023-01-01 07:10:00-06:00,2023-01-01 09:11:00-06:00,710,911,28,36,2023-01-01 07:00:00,2023-01-01 09:00:00,539.0,ERJ175,4342.472690918192,0.0,4342.472690918192,0.0,51.01724137931034,76,24.98275862068966
F00047,2023-01-01,3975,RDU,TPA,2023-01-01 06:14:00-06:00,2023-01-01 08:10:00-06:00,714,910,24,32,2023-01-01 06:00:00,2023-01-01 08:00:00,587.0,ERJ175,4729.186399942446,0.0,4729.186399942446,0.0,30.666666666666668,76,45.33333333333333
F00048,2023-01-01,3581,PIA,ORD,2023-01-01 07:15:00-06:00,2023-01-01 08:32:00-06:00,715,832,29,34,2023-01-01 07:15:00,2023-01-01 08:30:00,130.0,ERJ145,1378.4614503156845,0.0,1378.4614503156845,0.0,34.244897959183675,50,15.755102040816325
F00049,2023-01-01,3533,RDU,AUS,2023-01-01 06:15:00-06:00,2023-01-01 09:43:00-06:00,715,943,25,38,2023-01-01 06:15:00,2023-01-01 09:30:00,1162.0,ERJ175,9361.694372628828,0.0,9361.694372628828,0.0,53.345454545454544,76,22.654545454545456
F00050,2023-01-01,3310,SYR,ORD,2023-01-01 06:15:00-06:00,2023-01-01 08:43:00-06:00,715,843,25,34,2023-01-01 06:15:00,2023-01-01 08:30:00,607.0,ERJ175,4890.317112035886,0.0,4890.317112035886,0.0,62.84,76,13.159999999999997
F00051,2023-01-01,3921,XNA,CLT,2023-01-01 07:15:00-06:00,2023-01-01 09:24:00-06:00,715,1024,29,37,2023-01-01 07:15:00,2023-01-01 09:15:00,754.0,ERJ175,6074.627845922665,0.0,6074.627845922665,0.0,59.05084745762712,76,16.94915254237288
F00052,2023-01-01,3849,AVP,ORD,2023-01-01 06:18:00-06:00,2023-01-01 08:50:00-06:00,718,850,25,35,2023-01-01 06:15:00,2023-01-01 08:45:00,632.0,ERJ145,6701.443358457788,0.0,6701.443358457788,0.0,43.3,50,6.700000000000003
