ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE
ABE,ORD,10.0,348.0,34.8,201.9191463414634
ABI,DFW,103.0,4588.0,44.54368932038835,197.4678431372549
ABQ,AUS,27.0,1074.0,39.77777777777778,216.6102280130293
ABQ,SAF,1.0,70.0,70.0,
AGS,CLT,21.0,822.0,39.142857142857146,
AGS,DFW,30.0,1271.0,42.36666666666667,272.6259589041096
ALB,ORD,19.0,1085.0,57.10526315789474,244.56333333333336
ALO,ORD,37.0,717.0,19.37837837837838,212.6190909090909
ATL,CLT,8.0,374.0,46.75,288.7442857142857
ATL,DCA,52.0,2171.0,41.75,203.54481481481483
ATL,MIA,29.0,1795.0,61.89655172413793,206.7845038167939
ATL,ORD,37.0,2357.0,63.7027027027027,182.672975708502
ATW,CLT,30.0,2000.0,66.66666666666667,296.27923664122136
ATW,ORD,49.0,2529.0,51.61224489795919,192.16666666666663
ATW,TYS,1.0,73.0,73.0,287.4166666666667
AUS,ABQ,27.0,1214.0,44.96296296296296,199.14473118279568
AUS,BNA,72.0,3072.0,42.66666666666666,185.46617886178865
AUS,BZN,4.0,130.0,32.5,466.5255
AUS,CVG,31.0,1718.0,55.41935483870968,173.64762910798123
AUS,DFW,38.0,1445.0,38.026315789473685,228.6408148148148
AUS,ELP,79.0,3803.0,48.13924050632912,161.10996153846153
AUS,IND,29.0,1547.0,53.3448275862069,219.16068807339448
AUS,MCI,25.0,1066.0,42.64,171.99280701754387
AUS,MEM,17.0,536.0,31.529411764705884,198.91672268907564
AUS,MIA,57.0,4040.0,70.87719298245614,297.5020519835841
AUS,MSY,82.0,3619.0,44.13414634146341,179.45514762516046
AUS,OKC,38.0,1502.0,39.526315789473685,169.01593220338984
AUS,ORD,58.0,3682.0,63.48275862068966,267.2567024539877
AUS,PSP,31.0,1235.0,39.83870967741935,312.3474812030075
AUS,RDU,55.0,3182.0,57.85454545454545,209.34980842911875
AUS,RNO,39.0,1494.0,38.30769230769231,327.5592405063291
AUS,STL,26.0,1276.0,49.07692307692308,168.67187265917602
AUS,TUL,25.0,676.0,27.04,163.7509433962264
AVL,DFW,29.0,1871.0,64.51724137931035,327.87602564102565
AVP,ORD,10.0,433.0,43.3,217.66813559322037
AZO,ORD,50.0,2213.0,44.26,237.25
BDL,DCA,14.0,830.0,59.285714285714285,218.25641025641025
BDL,ORD,28.0,1512.0,54.0,282.9995294117647
BFL,PHX,30.0,1270.0,42.333333333333336,239.53325791855204
BFL,SBP,1.0,61.0,61.0,
BGR,DCA,2.0,114.0,57.0,362.0
BHM,CLT,19.0,1156.0,60.8421052631579,272.9739784946237
BHM,DCA,19.0,742.0,39.05263157894737,234.56770833333331
BHM,DFW,21.0,1381.0,65.76190476190476,259.69464968152863
BHM,MIA,31.0,1798.0,58.0,345.8227586206897
BHM,ORD,30.0,1103.0,36.766666666666666,188.73358139534884
BIL,DFW,21.0,1296.0,61.71428571428572,320.9755244755245
BIL,PHX,2.0,63.0,31.5,547.5
BIS,DFW,34.0,2006.0,59.0,369.5864
BMI,ORD,48.0,1692.0,35.25,265.3333333333333
BNA,AUS,72.0,3330.0,46.25,185.43936997319037
BNA,CLT,8.0,564.0,70.5,120.0356896551724
BNA,DCA,39.0,1783.0,45.71794871794872,176.13626016260162
BNA,MIA,32.0,2269.0,70.90625,248.93662420382168
