ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT,AVG_FARE,SPILLED_PAX_ERJ145,SPILLED_PAX_ERJ170,SPILLED_PAX_ERJ175,SPILL_COST_ERJ145,SPILL_COST_ERJ170,SPILL_COST_ERJ175
ABE,ORD,10.0,348.0,34.8,201.9191463414634,0.0,0.0,0.0,0.0,0.0,0.0
ABI,DFW,103.0,4588.0,44.54368932038835,197.4678431372549,0.0,0.0,0.0,0.0,0.0,0.0
ABQ,AUS,27.0,1074.0,39.77777777777778,216.6102280130293,0.0,0.0,0.0,0.0,0.0,0.0
ABQ,SAF,1.0,70.0,70.0,,20.0,5.0,0.0,,,
AGS,CLT,21.0,822.0,39.142857142857146,,0.0,0.0,0.0,,,
AGS,DFW,30.0,1271.0,42.36666666666667,272.6259589041096,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ORD,19.0,1085.0,57.10526315789474,244.56333333333336,7.10526315789474,0.0,0.0,1737.686842105264,0.0,0.0
ALO,ORD,37.0,717.0,19.37837837837838,212.6190909090909,0.0,0.0,0.0,0.0,0.0,0.0
ATL,CLT,8.0,374.0,46.75,288.7442857142857,0.0,0.0,0.0,0.0,0.0,0.0
ATL,DCA,52.0,2171.0,41.75,203.54481481481483,0.0,0.0,0.0,0.0,0.0,0.0
ATL,MIA,29.0,1795.0,61.89655172413793,206.7845038167939,11.896551724137929,0.0,0.0,2460.0225454066854,0.0,0.0
ATL,ORD,37.0,2357.0,63.7027027027027,182.672975708502,13.702702702702702,0.0,0.0,2503.1134779516356,0.0,0.0
ATW,CLT,30.0,2000.0,66.66666666666667,296.27923664122136,16.66666666666667,1.6666666666666714,0.0,4937.987277353691,493.79872773537033,0.0
ATW,ORD,49.0,2529.0,51.61224489795919,192.16666666666663,1.6122448979591866,0.0,0.0,309.81972789115696,0.0,0.0
ATW,TYS,1.0,73.0,73.0,287.4166666666667,23.0,8.0,0.0,6610.583333333334,2299.3333333333335,0.0
AUS,ABQ,27.0,1214.0,44.96296296296296,199.14473118279568,0.0,0.0,0.0,0.0,0.0,0.0
AUS,BNA,72.0,3072.0,42.66666666666666,185.46617886178865,0.0,0.0,0.0,0.0,0.0,0.0
AUS,BZN,4.0,130.0,32.5,466.5255,0.0,0.0,0.0,0.0,0.0,0.0
AUS,CVG,31.0,1718.0,55.41935483870968,173.64762910798123,5.41935483870968,0.0,0.0,941.0581190368019,0.0,0.0
AUS,DFW,38.0,1445.0,38.026315789473685,228.6408148148148,0.0,0.0,0.0,0.0,0.0,0.0
AUS,ELP,79.0,3803.0,48.13924050632912,161.10996153846153,0.0,0.0,0.0,0.0,0.0,0.0
AUS,IND,29.0,1547.0,53.3448275862069,219.16068807339448,3.344827586206897,0.0,0.0,733.0547152799747,0.0,0.0
AUS,MCI,25.0,1066.0,42.64,171.99280701754387,0.0,0.0,0.0,0.0,0.0,0.0
AUS,MEM,17.0,536.0,31.529411764705884,198.91672268907564,0.0,0.0,0.0,0.0,0.0,0.0
AUS,MIA,57.0,4040.0,70.87719298245614,297.5020519835841,20.877192982456137,5.877192982456137,0.0,6211.007751937983,1748.4769721842215,0.0
AUS,MSY,82.0,3619.0,44.13414634146341,179.45514762516046,0.0,0.0,0.0,0.0,0.0,0.0
AUS,OKC,38.0,1502.0,39.526315789473685,169.01593220338984,0.0,0.0,0.0,0.0,0.0,0.0
AUS,ORD,58.0,3682.0,63.48275862068966,267.2567024539877,13.482758620689658,0.0,0.0,3603.3576089485937,0.0,0.0
AUS,PSP,31.0,1235.0,39.83870967741935,312.3474812030075,0.0,0.0,0.0,0.0,0.0,0.0
AUS,RDU,55.0,3182.0,57.85454545454545,209.34980842911875,7.854545454545452,0.0,0.0,1644.3475862068958,0.0,0.0
AUS,RNO,39.0,1494.0,38.30769230769231,327.5592405063291,0.0,0.0,0.0,0.0,0.0,0.0
AUS,STL,26.0,1276.0,49.07692307692308,168.67187265917602,0.0,0.0,0.0,0.0,0.0,0.0
AUS,TUL,25.0,676.0,27.04,163.7509433962264,0.0,0.0,0.0,0.0,0.0,0.0
AVL,DFW,29.0,1871.0,64.51724137931035,327.87602564102565,14.517241379310349,0.0,0.0,4759.855406719718,0.0,0.0
