ORIGIN,DEST,TOTAL_DEPARTURES,TOTAL_PASSENGERS,AVG_PAX_PER_FLIGHT
ABE,ORD,10.0,348.0,34.8
ABI,DFW,103.0,4588.0,44.54368932038835
ABQ,AUS,27.0,1074.0,39.77777777777778
ABQ,SAF,1.0,70.0,70.0
AGS,CLT,21.0,822.0,39.142857142857146
AGS,DFW,30.0,1271.0,42.36666666666667
ALB,ORD,19.0,1085.0,57.10526315789474
ALO,ORD,37.0,717.0,19.37837837837838
ATL,CLT,8.0,374.0,46.75
ATL,DCA,52.0,2171.0,41.75
ATL,MIA,29.0,1795.0,61.89655172413793
ATL,ORD,37.0,2357.0,63.7027027027027
ATW,CLT,30.0,2000.0,66.66666666666667
ATW,ORD,49.0,2529.0,51.61224489795919
ATW,TYS,1.0,73.0,73.0
AUS,ABQ,27.0,1214.0,44.96296296296296
AUS,BNA,72.0,3072.0,42.666666666666664
AUS,BZN,4.0,130.0,32.5
AUS,CVG,31.0,1718.0,55.41935483870968
AUS,DFW,38.0,1445.0,38.026315789473685
AUS,ELP,79.0,3803.0,48.139240506329116
AUS,IND,29.0,1547.0,53.3448275862069
AUS,MCI,25.0,1066.0,42.64
AUS,MEM,17.0,536.0,31.529411764705884
AUS,MIA,57.0,4040.0,70.87719298245614
AUS,MSY,82.0,3619.0,44.13414634146341
AUS,OKC,38.0,1502.0,39.526315789473685
AUS,ORD,58.0,3682.0,63.48275862068966
AUS,PSP,31.0,1235.0,39.83870967741935
AUS,RDU,55.0,3182.0,57.85454545454545
AUS,RNO,39.0,1494.0,38.30769230769231
AUS,STL,26.0,1276.0,49.07692307692308
AUS,TUL,25.0,676.0,27.04
AVL,DFW,29.0,1871.0,64.51724137931035
AVP,ORD,10.0,433.0,43.3
AZO,ORD,50.0,2213.0,44.26
BDL,DCA,14.0,830.0,59.285714285714285
BDL,ORD,28.0,1512.0,54.0
BFL,PHX,30.0,1270.0,42.333333333333336
BFL,SBP,1.0,61.0,61.0
BGR,DCA,2.0,114.0,57.0
BHM,CLT,19.0,1156.0,60.8421052631579
BHM,DCA,19.0,742.0,39.05263157894737
BHM,DFW,21.0,1381.0,65.76190476190476
BHM,MIA,31.0,1798.0,58.0
BHM,ORD,30.0,1103.0,36.766666666666666
BIL,DFW,21.0,1296.0,61.714285714285715
BIL,PHX,2.0,63.0,31.5
BIS,DFW,34.0,2006.0,59.0
BMI,ORD,48.0,1692.0,35.25
BNA,AUS,72.0,3330.0,46.25
BNA,CLT,8.0,564.0,70.5
BNA,DCA,39.0,1783.0,45.717948717948715
BNA,MIA,32.0,2269.0,70.90625
BNA,ORD,56.0,3384.0,60.42857142857143
BNA,PIT,1.0,56.0,56.0
BNA,TPA,55.0,3249.0,59.07272727272727
BOI,MSO,1.0,64.0,64.0
BOS,CMH,21.0,852.0,40.57142857142857
BOS,CVG,12.0,408.0,34.0
BOS,MEM,7.0,234.0,33.42857142857143
BOS,ORD,40.0,2617.0,65.425
BOS,SDF,7.0,320.0,45.714285714285715
BOS,STL,9.0,536.0,59.55555555555556
BRO,DFW,40.0,2775.0,69.375
BTR,DFW,76.0,4559.0,59.98684210526316
BTR,JAN,1.0,71.0,71.0
BUF,ORD,27.0,1579.0,58.48148148148148
BWI,MIA,1.0,58.0,58.0
BWI,ORD,50.0,2297.0,45.94
BZN,AUS,4.0,93.0,23.25
BZN,ORD,22.0,1529.0,69.5
CAE,ATL,1.0,58.0,58.0
CHA,CLT,1.0,56.0,56.0
CHA,DFW,75.0,4694.0,62.586666666666666
CHS,DCA,15.0,794.0,52.93333333333333
CHS,MIA,58.0,3715.0,64.05172413793103
CID,DFW,8.0,551.0,68.875
CID,ORD,77.0,3322.0,43.142857142857146
CLE,ORD,68.0,2558.0,37.61764705882353
CLT,AGS,21.0,1042.0,49.61904761904762
CLT,ATL,8.0,376.0,47.0
CLT,ATW,31.0,1724.0,55.61290322580645
CLT,BHM,19.0,1160.0,61.05263157894737
CLT,BNA,8.0,506.0,63.25
CLT,DAY,7.0,297.0,42.42857142857143
CLT,EYW,2.0,151.0,75.5
