AIRCRAFT_TYPE,AIRPORT,INITIAL_COUNT
ERJ145,ABE,1
ERJ145,ABI,0
ERJ145,ABQ,0
ERJ145,AGS,0
ERJ145,ALB,0
ERJ145,ALO,0
ERJ145,ATL,0
ERJ145,ATW,0
ERJ145,AUS,0
ERJ145,AVL,0
ERJ145,AVP,1
ERJ145,AZO,1
ERJ145,BDL,0
ERJ145,BFL,0
ERJ145,BGR,0
ERJ145,BHM,0
ERJ145,BIL,0
ERJ145,BIS,0
ERJ145,BMI,1
ERJ145,BNA,0
ERJ145,BOS,0
ERJ145,BRO,0
ERJ145,BTR,0
ERJ145,BUF,0
ERJ145,BWI,0
ERJ145,BZN,0
ERJ145,CHA,0
ERJ145,CHS,0
ERJ145,CID,0
ERJ145,CLE,0
ERJ145,CLT,0
ERJ145,CMH,0
ERJ145,CMI,1
ERJ145,COS,0
ERJ145,COU,1
ERJ145,CRP,0
ERJ145,CVG,0
ERJ145,CWA,1
ERJ145,DAB,0
ERJ145,DAY,0
ERJ145,DCA,0
ERJ145,DFW,0
ERJ145,DRO,0
ERJ145,DSM,0
ERJ145,DTW,1
ERJ145,ECP,0
ERJ145,ELP,0
ERJ145,EVV,1
ERJ145,EWR,0
ERJ145,EYW,0
ERJ145,FAR,1
ERJ145,FAY,0
ERJ145,FNT,1
ERJ145,FSD,0
ERJ145,FSM,0
ERJ145,FWA,0
ERJ145,GJT,0
ERJ145,GNV,0
ERJ145,GPT,0
ERJ145,GRB,0
ERJ145,GRK,0
ERJ145,GRR,0
ERJ145,GSO,1
ERJ145,GSP,0
ERJ145,HHH,0
ERJ145,HOU,0
ERJ145,HPN,0
ERJ145,HRL,0
ERJ145,HSV,0
ERJ145,IAH,0
ERJ145,ICT,0
ERJ145,IND,0
ERJ145,JAN,0
ERJ145,JAX,0
ERJ145,LAN,0
ERJ145,LBB,0
ERJ145,LCH,0
ERJ145,LEX,0
ERJ145,LFT,0
ERJ145,LIT,0
ERJ145,LSE,1
ERJ145,MAF,0
ERJ145,MCI,0
ERJ145,MEM,0
ERJ145,MGM,0
ERJ145,MHK,1
ERJ145,MIA,0
ERJ145,MKE,0
ERJ145,MLI,1
ERJ145,MOB,0
ERJ145,MQT,1
ERJ145,MRY,0
ERJ145,MSN,0
ERJ145,MSO,0
ERJ145,MSP,1
ERJ145,MSY,0
ERJ145,MYR,0
ERJ145,OKC,0
ERJ145,OMA,0
ERJ145,ORD,8
ERJ145,ORF,0
ERJ145,PHX,0
ERJ145,PIA,1
ERJ145,PIT,0
ERJ145,PNS,0
ERJ145,PSP,0
ERJ145,PVD,0
ERJ145,RAP,0
ERJ145,RDU,0
ERJ145,RIC,0
ERJ145,RNO,0
ERJ145,ROC,0
ERJ145,RST,0
ERJ145,SAF,0
ERJ145,SAV,0
ERJ145,SBA,0
ERJ145,SBP,0
ERJ145,SDF,0
ERJ145,SGF,1
ERJ145,SHV,0
ERJ145,SJT,0
ERJ145,SLC,0
ERJ145,SRQ,0
ERJ145,STL,0
ERJ145,STS,0
ERJ145,SYR,0
ERJ145,TLH,0
ERJ145,TPA,0
ERJ145,TRI,0
ERJ145,TUL,0
ERJ145,TUS,0
ERJ145,TVC,0
ERJ145,TYS,1
ERJ145,VPS,0
ERJ145,XNA,0
ERJ170,ABE,0
ERJ170,ABI,0
ERJ170,ABQ,0
ERJ170,AGS,0
ERJ170,ALB,1
ERJ170,ALO,0
ERJ170,ATL,0
ERJ170,ATW,1
ERJ170,AUS,0
ERJ170,AVL,0
ERJ170,AVP,0
ERJ170,AZO,0
ERJ170,BDL,0
ERJ170,BFL,0
ERJ170,BGR,0
ERJ170,BHM,0
