Tail_Number,AIRCRAFT_TYPE,INITIAL_AIRPORT,FIRST_OBSERVED_DEPARTURE,FlightDate,Flight_Number_Reporting_Airline,INITIAL_POSITION_METHOD
N292NN,ERJ175,BOS,2023-01-01 04:20:00-06:00,2023-01-01,3471,FIRST_OBSERVED_DEPARTURE_PROXY
N234JW,ERJ175,GSP,2023-01-01 05:00:00-06:00,2023-01-01,3686,FIRST_OBSERVED_DEPARTURE_PROXY
N254NN,ERJ175,CVG,2023-01-01 05:03:00-06:00,2023-01-01,3638,FIRST_OBSERVED_DEPARTURE_PROXY
N211NN,ERJ175,CHS,2023-01-01 05:06:00-06:00,2023-01-01,3354,FIRST_OBSERVED_DEPARTURE_PROXY
N257NN,ERJ175,SAV,2023-01-01 05:15:00-06:00,2023-01-01,3702,FIRST_OBSERVED_DEPARTURE_PROXY
N241NN,ERJ175,TLH,2023-01-01 05:23:00-06:00,2023-01-01,3592,FIRST_OBSERVED_DEPARTURE_PROXY
N284JN,ERJ175,CMH,2023-01-01 05:25:00-06:00,2023-01-01,4035,FIRST_OBSERVED_DEPARTURE_PROXY
N207AN,ERJ175,CMH,2023-01-01 05:27:00-06:00,2023-01-01,3670,FIRST_OBSERVED_DEPARTURE_PROXY
N276NN,ERJ175,BUF,2023-01-01 05:28:00-06:00,2023-01-01,4053,FIRST_OBSERVED_DEPARTURE_PROXY
N242NN,ERJ175,TYS,2023-01-01 05:30:00-06:00,2023-01-01,3870,FIRST_OBSERVED_DEPARTURE_PROXY
N902BC,ERJ145,TYS,2023-01-01 05:30:00-06:00,2023-01-01,3886,FIRST_OBSERVED_DEPARTURE_PROXY
N270NN,ERJ175,EYW,2023-01-01 05:34:00-06:00,2023-01-01,3453,FIRST_OBSERVED_DEPARTURE_PROXY
N214NN,ERJ175,LIT,2023-01-01 05:52:00-06:00,2023-01-01,3630,FIRST_OBSERVED_DEPARTURE_PROXY
N942LL,ERJ145,GSO,2023-01-01 05:53:00-06:00,2023-01-01,3980,FIRST_OBSERVED_DEPARTURE_PROXY
N232NN,ERJ175,XNA,2023-01-01 06:00:00-06:00,2023-01-01,3845,FIRST_OBSERVED_DEPARTURE_PROXY
N263NN,ERJ175,AUS,2023-01-01 06:00:00-06:00,2023-01-01,4019,FIRST_OBSERVED_DEPARTURE_PROXY
N298FR,ERJ175,GSO,2023-01-01 06:00:00-06:00,2023-01-01,3640,FIRST_OBSERVED_DEPARTURE_PROXY
N679AE,ERJ145,FNT,2023-01-01 06:00:00-06:00,2023-01-01,4016,FIRST_OBSERVED_DEPARTURE_PROXY
N653AE,ERJ145,MLI,2023-01-01 06:07:00-06:00,2023-01-01,3635,FIRST_OBSERVED_DEPARTURE_PROXY
N208AN,ERJ175,BHM,2023-01-01 06:10:00-06:00,2023-01-01,3625,FIRST_OBSERVED_DEPARTURE_PROXY
N209NN,ERJ175,JAX,2023-01-01 06:10:00-06:00,2023-01-01,3662,FIRST_OBSERVED_DEPARTURE_PROXY
N200NN,ERJ175,RDU,2023-01-01 06:14:00-06:00,2023-01-01,3975,FIRST_OBSERVED_DEPARTURE_PROXY
N225NN,ERJ175,RDU,2023-01-01 06:15:00-06:00,2023-01-01,3533,FIRST_OBSERVED_DEPARTURE_PROXY
N286NN,ERJ175,SYR,2023-01-01 06:15:00-06:00,2023-01-01,3310,FIRST_OBSERVED_DEPARTURE_PROXY
N939AE,ERJ145,AVP,2023-01-01 06:18:00-06:00,2023-01-01,3849,FIRST_OBSERVED_DEPARTURE_PROXY
N256NN,ERJ175,XNA,2023-01-01 06:19:00-06:00,2023-01-01,3824,FIRST_OBSERVED_DEPARTURE_PROXY
N230NN,ERJ175,LEX,2023-01-01 06:25:00-06:00,2023-01-01,3888,FIRST_OBSERVED_DEPARTURE_PROXY
N664MS,ERJ145,ABE,2023-01-01 06:25:00-06:00,2023-01-01,4041,FIRST_OBSERVED_DEPARTURE_PROXY
N240NN,ERJ175,ORF,2023-01-01 06:28:00-06:00,2023-01-01,3423,FIRST_OBSERVED_DEPARTURE_PROXY
N238NN,ERJ175,ROC,2023-01-01 06:30:00-06:00,2023-01-01,3351,FIRST_OBSERVED_DEPARTURE_PROXY
N285NN,ERJ175,BIS,2023-01-01 06:30:00-06:00,2023-01-01,3772,FIRST_OBSERVED_DEPARTURE_PROXY
N689EC,ERJ145,CWA,2023-01-01 06:30:00-06:00,2023-01-01,3788,FIRST_OBSERVED_DEPARTURE_PROXY
N277NN,ERJ175,PNS,2023-01-01 06:35:00-06:00,2023-01-01,3508,FIRST_OBSERVED_DEPARTURE_PROXY
N231AN,ERJ175,LIT,2023-01-01 06:40:00-06:00,2023-01-01,3656,FIRST_OBSERVED_DEPARTURE_PROXY
N229NN,ERJ175,ICT,2023-01-01 06:45:00-06:00,2023-01-01,3615,FIRST_OBSERVED_DEPARTURE_PROXY
N279MQ,ERJ175,AUS,2023-01-01 06:45:00-06:00,2023-01-01,4028,FIRST_OBSERVED_DEPARTURE_PROXY
N219NN,ERJ175,CMI,2023-01-01 06:50:00-06:00,2023-01-01,4073,FIRST_OBSERVED_DEPARTURE_PROXY
N905JH,ERJ145,SGF,2023-01-01 06:52:00-06:00,2023-01-01,3540,FIRST_OBSERVED_DEPARTURE_PROXY
N288NN,ERJ175,ATW,2023-01-01 06:54:00-06:00,2023-01-01,3368,FIRST_OBSERVED_DEPARTURE_PROXY
N261NN,ERJ175,CVG,2023-01-01 06:57:00-06:00,2023-01-01,4245,FIRST_OBSERVED_DEPARTURE_PROXY
N764JD,ERJ170,CID,2023-01-01 06:57:00-06:00,2023-01-01,3308,FIRST_OBSERVED_DEPARTURE_PROXY
N922AE,ERJ145,MHK,2023-01-01 06:57:00-06:00,2023-01-01,3674,FIRST_OBSERVED_DEPARTURE_PROXY
N210NN,ERJ175,AUS,2023-01-01 07:00:00-06:00,2023-01-01,4227,FIRST_OBSERVED_DEPARTURE_PROXY
N220NN,ERJ175,GRB,2023-01-01 07:00:00-06:00,2023-01-01,3383,FIRST_OBSERVED_DEPARTURE_PROXY
N223NN,ERJ175,CHA,2023-01-01 07:00:00-06:00,2023-01-01,3831,FIRST_OBSERVED_DEPARTURE_PROXY
N237NN,ERJ175,MSN,2023-01-01 07:00:00-06:00,2023-01-01,3741,FIRST_OBSERVED_DEPARTURE_PROXY
N244NN,ERJ175,SDF,2023-01-01 07:00:00-06:00,2023-01-01,3422,FIRST_OBSERVED_DEPARTURE_PROXY
N278NN,ERJ175,COU,2023-01-01 07:00:00-06:00,2023-01-01,3340,FIRST_OBSERVED_DEPARTURE_PROXY
N289MW,ERJ175,TLH,2023-01-01 07:00:00-06:00,2023-01-01,3667,FIRST_OBSERVED_DEPARTURE_PROXY
N622AE,ERJ145,EVV,2023-01-01 07:00:00-06:00,2023-01-01,3529,FIRST_OBSERVED_DEPARTURE_PROXY
N928AE,ERJ145,MSP,2023-01-01 07:00:00-06:00,2023-01-01,4210,FIRST_OBSERVED_DEPARTURE_PROXY
N932AE,ERJ145,DTW,2023-01-01 07:00:00-06:00,2023-01-01,3828,FIRST_OBSERVED_DEPARTURE_PROXY
N246NN,ERJ175,ECP,2023-01-01 07:05:00-06:00,2023-01-01,3372,FIRST_OBSERVED_DEPARTURE_PROXY
N222NS,ERJ175,LEX,2023-01-01 07:10:00-06:00,2023-01-01,4140,FIRST_OBSERVED_DEPARTURE_PROXY
N236NN,ERJ175,MOB,2023-01-01 07:10:00-06:00,2023-01-01,3864,FIRST_OBSERVED_DEPARTURE_PROXY
