AIRPORT,TIMEZONE
ABE,America/New_York
ABI,America/Chicago
ABQ,America/Denver
AGS,America/New_York
ALB,America/New_York
ALO,America/Chicago
ATL,America/New_York
ATW,America/Chicago
AUS,America/Chicago
AVL,America/New_York
AVP,America/New_York
AZO,America/Detroit
BDL,America/New_York
BFL,America/Los_Angeles
BGR,America/New_York
BHM,America/Chicago
BIL,America/Denver
BIS,America/Chicago
BMI,America/Chicago
BNA,America/Chicago
BOS,America/New_York
BRO,America/Chicago
BTR,America/Chicago
BUF,America/New_York
BWI,America/New_York
BZN,America/Denver
CHA,America/New_York
CHS,America/New_York
CID,America/Chicago
CLE,America/New_York
CLT,America/New_York
CMH,America/New_York
CMI,America/Chicago
COS,America/Denver
COU,America/Chicago
CRP,America/Chicago
CVG,America/New_York
CWA,America/Chicago
DAB,America/New_York
DAY,America/New_York
DCA,America/New_York
DFW,America/Chicago
DRO,America/Denver
DSM,America/Chicago
DTW,America/New_York
ECP,America/Chicago
ELP,America/Denver
EVV,America/Chicago
EWR,America/New_York
EYW,America/New_York
FAR,America/Chicago
FAY,America/New_York
FNT,America/New_York
FSD,America/Chicago
FSM,America/Chicago
FWA,America/New_York
GJT,America/Denver
GNV,America/New_York
GPT,America/Chicago
GRB,America/Chicago
GRK,America/Chicago
GRR,America/New_York
GSO,America/New_York
GSP,America/New_York
HHH,America/New_York
HOU,America/Chicago
HPN,America/New_York
HRL,America/Chicago
HSV,America/Chicago
IAH,America/Chicago
ICT,America/Chicago
IND,America/New_York
JAN,America/Chicago
JAX,America/New_York
LAN,America/Detroit
LBB,America/Chicago
LCH,America/Chicago
LEX,America/New_York
LFT,America/Chicago
LIT,America/Chicago
LSE,America/Chicago
MAF,America/Chicago
MCI,America/Chicago
MEM,America/Chicago
MGM,America/Chicago
MHK,America/Chicago
MIA,America/New_York
MKE,America/Chicago
MLI,America/Chicago
MOB,America/Chicago
MQT,America/New_York
MRY,America/Los_Angeles
MSN,America/Chicago
MSO,America/Denver
MSP,America/Chicago
MSY,America/Chicago
MYR,America/New_York
OKC,America/Chicago
OMA,America/Chicago
ORD,America/Chicago
ORF,America/New_York
PHX,America/Phoenix
PIA,America/Chicago
PIT,America/New_York
PNS,America/Chicago
PSP,America/Los_Angeles
PVD,America/New_York
RAP,America/Denver
RDU,America/New_York
RIC,America/New_York
RNO,America/Los_Angeles
ROC,America/New_York
RST,America/Chicago
SAF,America/Denver
SAV,America/New_York
SBA,America/Los_Angeles
SBP,America/Los_Angeles
SDF,America/Kentucky/Louisville
SGF,America/Chicago
SHV,America/Chicago
SJT,America/Chicago
SLC,America/Denver
SRQ,America/New_York
STL,America/Chicago
STS,America/Los_Angeles
SYR,America/New_York
TLH,America/New_York
TPA,America/New_York
TRI,America/New_York
TUL,America/Chicago
TUS,America/Phoenix
TVC,America/New_York
TYS,America/New_York
VPS,America/Chicago
XNA,America/Chicago
