FlightDate,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,CRSArrTime,CRSElapsedTime,Distance,DEP_REFERENCE_TIME,ARR_REFERENCE_TIME,DEP_TIME_INDEX_COMMON,ARR_TIME_INDEX_COMMON,Tail_Number,AIRCRAFT_TYPE,Cancelled,Diverted
2023-01-01,3471,BOS,ORD,520,719,179.0,867.0,2023-01-01 04:20:00-06:00,2023-01-01 07:19:00-06:00,17,29,N292NN,ERJ175,0.0,0.0
2023-01-01,3630,LIT,DCA,552,914,142.0,888.0,2023-01-01 05:52:00-06:00,2023-01-01 08:14:00-06:00,23,32,N214NN,ERJ175,0.0,0.0
2023-01-01,4019,AUS,ORD,600,842,162.0,977.0,2023-01-01 06:00:00-06:00,2023-01-01 08:42:00-06:00,24,34,N263NN,ERJ175,0.0,0.0
2023-01-01,3686,GSP,MIA,600,759,119.0,637.0,2023-01-01 05:00:00-06:00,2023-01-01 06:59:00-06:00,20,27,N234JW,ERJ175,0.0,0.0
2023-01-01,3845,XNA,MIA,600,943,163.0,1099.0,2023-01-01 06:00:00-06:00,2023-01-01 08:43:00-06:00,24,34,N232NN,ERJ175,0.0,0.0
2023-01-01,3638,CVG,MIA,603,843,160.0,948.0,2023-01-01 05:03:00-06:00,2023-01-01 07:43:00-06:00,20,30,N254NN,ERJ175,0.0,0.0
2023-01-01,3354,CHS,MIA,606,745,99.0,489.0,2023-01-01 05:06:00-06:00,2023-01-01 06:45:00-06:00,20,27,N211NN,ERJ175,0.0,0.0
2023-01-01,3635,MLI,ORD,607,725,78.0,139.0,2023-01-01 06:07:00-06:00,2023-01-01 07:25:00-06:00,24,29,N653AE,ERJ145,0.0,0.0
2023-01-01,3625,BHM,MIA,610,906,116.0,661.0,2023-01-01 06:10:00-06:00,2023-01-01 08:06:00-06:00,24,32,N208AN,ERJ175,0.0,0.0
2023-01-01,4153,GJT,DFW,610,927,137.0,773.0,2023-01-01 07:10:00-06:00,2023-01-01 09:27:00-06:00,28,37,N252NN,ERJ175,0.0,0.0
2023-01-01,4233,RAP,DFW,610,930,140.0,835.0,2023-01-01 07:10:00-06:00,2023-01-01 09:30:00-06:00,28,38,N258NN,ERJ175,0.0,0.0
2023-01-01,3702,SAV,MIA,615,746,91.0,440.0,2023-01-01 05:15:00-06:00,2023-01-01 06:46:00-06:00,21,27,N257NN,ERJ175,0.0,0.0
2023-01-01,3655,MRY,DFW,616,1139,203.0,1430.0,2023-01-01 08:16:00-06:00,2023-01-01 11:39:00-06:00,33,46,N272NN,ERJ175,0.0,0.0
2023-01-01,3824,XNA,DCA,619,950,151.0,963.0,2023-01-01 06:19:00-06:00,2023-01-01 08:50:00-06:00,25,35,N256NN,ERJ175,0.0,0.0
2023-01-01,3592,TLH,MIA,623,746,83.0,402.0,2023-01-01 05:23:00-06:00,2023-01-01 06:46:00-06:00,21,27,N241NN,ERJ175,0.0,0.0
2023-01-01,4035,CMH,DCA,625,750,85.0,323.0,2023-01-01 05:25:00-06:00,2023-01-01 06:50:00-06:00,21,27,N284JN,ERJ175,0.0,0.0
2023-01-01,3670,CMH,MIA,627,915,168.0,990.0,2023-01-01 05:27:00-06:00,2023-01-01 08:15:00-06:00,21,33,N207AN,ERJ175,0.0,0.0
2023-01-01,4053,BUF,ORD,628,730,122.0,474.0,2023-01-01 05:28:00-06:00,2023-01-01 07:30:00-06:00,21,30,N276NN,ERJ175,0.0,0.0
2023-01-01,3772,BIS,DFW,630,923,173.0,977.0,2023-01-01 06:30:00-06:00,2023-01-01 09:23:00-06:00,26,37,N285NN,ERJ175,0.0,0.0
2023-01-01,3788,CWA,ORD,630,800,90.0,213.0,2023-01-01 06:30:00-06:00,2023-01-01 08:00:00-06:00,26,32,N689EC,ERJ145,0.0,0.0
2023-01-01,3870,TYS,MIA,630,847,137.0,724.0,2023-01-01 05:30:00-06:00,2023-01-01 07:47:00-06:00,22,31,N242NN,ERJ175,0.0,0.0
2023-01-01,3886,TYS,ORD,630,727,117.0,475.0,2023-01-01 05:30:00-06:00,2023-01-01 07:27:00-06:00,22,29,N902BC,ERJ145,0.0,0.0
2023-01-01,3453,EYW,DCA,634,919,165.0,1023.0,2023-01-01 05:34:00-06:00,2023-01-01 08:19:00-06:00,22,33,N270NN,ERJ175,0.0,0.0
2023-01-01,3508,PNS,MIA,635,913,98.0,530.0,2023-01-01 06:35:00-06:00,2023-01-01 08:13:00-06:00,26,32,N277NN,ERJ175,0.0,0.0
2023-01-01,3656,LIT,ORD,640,837,117.0,552.0,2023-01-01 06:40:00-06:00,2023-01-01 08:37:00-06:00,26,34,N231AN,ERJ175,0.0,0.0
2023-01-01,4028,AUS,BNA,645,846,121.0,756.0,2023-01-01 06:45:00-06:00,2023-01-01 08:46:00-06:00,27,35,N279MQ,ERJ175,0.0,0.0
2023-01-01,3615,ICT,ORD,645,844,119.0,588.0,2023-01-01 06:45:00-06:00,2023-01-01 08:44:00-06:00,27,34,N229NN,ERJ175,0.0,0.0
2023-01-01,4073,CMI,DFW,650,916,146.0,693.0,2023-01-01 06:50:00-06:00,2023-01-01 09:16:00-06:00,27,37,N219NN,ERJ175,0.0,0.0
2023-01-01,3540,SGF,ORD,652,840,108.0,438.0,2023-01-01 06:52:00-06:00,2023-01-01 08:40:00-06:00,27,34,N905JH,ERJ145,0.0,0.0
2023-01-01,3980,GSO,ORD,653,811,138.0,589.0,2023-01-01 05:53:00-06:00,2023-01-01 08:11:00-06:00,23,32,N942LL,ERJ145,0.0,0.0
2023-01-01,3368,ATW,CLT,654,1015,141.0,742.0,2023-01-01 06:54:00-06:00,2023-01-01 09:15:00-06:00,27,37,N288NN,ERJ175,0.0,0.0
2023-01-01,3308,CID,ORD,657,814,77.0,196.0,2023-01-01 06:57:00-06:00,2023-01-01 08:14:00-06:00,27,32,N764JD,ERJ170,0.0,0.0
2023-01-01,3674,MHK,ORD,657,855,118.0,501.0,2023-01-01 06:57:00-06:00,2023-01-01 08:55:00-06:00,27,35,N922AE,ERJ145,0.0,0.0
2023-01-01,4227,AUS,RNO,700,847,227.0,1405.0,2023-01-01 07:00:00-06:00,2023-01-01 10:47:00-06:00,28,43,N210NN,ERJ175,0.0,0.0
2023-01-01,3340,COU,DFW,700,853,113.0,490.0,2023-01-01 07:00:00-06:00,2023-01-01 08:53:00-06:00,28,35,N278NN,ERJ175,0.0,0.0
2023-01-01,3529,EVV,DFW,700,934,154.0,642.0,2023-01-01 07:00:00-06:00,2023-01-01 09:34:00-06:00,28,38,N622AE,ERJ145,0.0,0.0
2023-01-01,4016,FNT,ORD,700,730,90.0,223.0,2023-01-01 06:00:00-06:00,2023-01-01 07:30:00-06:00,24,30,N679AE,ERJ145,0.0,0.0
2023-01-01,3383,GRB,ORD,700,806,66.0,173.0,2023-01-01 07:00:00-06:00,2023-01-01 08:06:00-06:00,28,32,N220NN,ERJ175,0.0,0.0
2023-01-01,3640,GSO,MIA,700,910,130.0,710.0,2023-01-01 06:00:00-06:00,2023-01-01 08:10:00-06:00,24,32,N298FR,ERJ175,0.0,0.0
2023-01-01,3374,MGM,DFW,700,917,137.0,622.0,2023-01-01 07:00:00-06:00,2023-01-01 09:17:00-06:00,28,37,N222NS,ERJ175,1.0,0.0
2023-01-01,3741,MSN,ORD,700,807,67.0,108.0,2023-01-01 07:00:00-06:00,2023-01-01 08:07:00-06:00,28,32,N237NN,ERJ175,0.0,0.0
2023-01-01,4210,MSP,ORD,700,844,104.0,334.0,2023-01-01 07:00:00-06:00,2023-01-01 08:44:00-06:00,28,34,N928AE,ERJ145,0.0,0.0
2023-01-01,3372,ECP,DFW,705,930,145.0,685.0,2023-01-01 07:05:00-06:00,2023-01-01 09:30:00-06:00,28,38,N246NN,ERJ175,0.0,0.0
2023-01-01,3662,JAX,MIA,710,827,77.0,335.0,2023-01-01 06:10:00-06:00,2023-01-01 07:27:00-06:00,24,29,N209NN,ERJ175,0.0,0.0
