FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,DepTime,CRSArrTime,ArrTime,Cancelled,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,ORIGIN_TIMEZONE,DEST_TIMEZONE,DEP_REFERENCE_TIME,ARR_REFERENCE_TIME,OVERNIGHT_CORRECTION,REFERENCE_ELAPSED_MIN,ELAPSED_DIFF_MIN,DEP_REFERENCE_15MIN,ARR_REFERENCE_15MIN,DEP_TIME_INDEX_COMMON,ARR_TIME_INDEX_COMMON,FAA_N_NUMBER,N-NUMBER,MFR MDL CODE,CODE,MFR,MODEL,AIRCRAFT_TYPE
2023-01-01,MQ,N292NN,3471,BOS,ORD,520,604.0,719,801.0,0.0,0.0,179.0,177.0,143.0,867.0,America/New_York,America/Chicago,2023-01-01 04:20:00-06:00,2023-01-01 07:19:00-06:00,False,179.0,0.0,2023-01-01 04:15:00-06:00,2023-01-01 07:15:00-06:00,17,29,292NN,292NN,3260988,3260988,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N214NN,3630,LIT,DCA,552,547.0,914,849.0,0.0,0.0,142.0,122.0,107.0,888.0,America/Chicago,America/New_York,2023-01-01 05:52:00-06:00,2023-01-01 08:14:00-06:00,False,142.0,0.0,2023-01-01 05:45:00-06:00,2023-01-01 08:00:00-06:00,23,32,214NN,214NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N263NN,4019,AUS,ORD,600,558.0,842,840.0,0.0,0.0,162.0,162.0,135.0,977.0,America/Chicago,America/Chicago,2023-01-01 06:00:00-06:00,2023-01-01 08:42:00-06:00,False,162.0,0.0,2023-01-01 06:00:00-06:00,2023-01-01 08:30:00-06:00,24,34,263NN,263NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N234JW,3686,GSP,MIA,600,558.0,759,757.0,0.0,0.0,119.0,119.0,95.0,637.0,America/New_York,America/New_York,2023-01-01 05:00:00-06:00,2023-01-01 06:59:00-06:00,False,119.0,0.0,2023-01-01 05:00:00-06:00,2023-01-01 06:45:00-06:00,20,27,234JW,234JW,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N232NN,3845,XNA,MIA,600,600.0,943,939.0,0.0,0.0,163.0,159.0,137.0,1099.0,America/Chicago,America/New_York,2023-01-01 06:00:00-06:00,2023-01-01 08:43:00-06:00,False,163.0,0.0,2023-01-01 06:00:00-06:00,2023-01-01 08:30:00-06:00,24,34,232NN,232NN,3260410,3260410,EMBRAER,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N254NN,3638,CVG,MIA,603,554.0,843,822.0,0.0,0.0,160.0,148.0,133.0,948.0,America/New_York,America/New_York,2023-01-01 05:03:00-06:00,2023-01-01 07:43:00-06:00,False,160.0,0.0,2023-01-01 05:00:00-06:00,2023-01-01 07:30:00-06:00,20,30,254NN,254NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N211NN,3354,CHS,MIA,606,605.0,745,739.0,0.0,0.0,99.0,94.0,78.0,489.0,America/New_York,America/New_York,2023-01-01 05:06:00-06:00,2023-01-01 06:45:00-06:00,False,99.0,0.0,2023-01-01 05:00:00-06:00,2023-01-01 06:45:00-06:00,20,27,211NN,211NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N653AE,3635,MLI,ORD,607,557.0,725,729.0,0.0,0.0,78.0,92.0,36.0,139.0,America/Chicago,America/Chicago,2023-01-01 06:07:00-06:00,2023-01-01 07:25:00-06:00,False,78.0,0.0,2023-01-01 06:00:00-06:00,2023-01-01 07:15:00-06:00,24,29,653AE,653AE,3260212,3260212,EMBRAER,EMB-145LR,ERJ145
2023-01-01,MQ,N208AN,3625,BHM,MIA,610,601.0,906,843.0,0.0,0.0,116.0,102.0,86.0,661.0,America/Chicago,America/New_York,2023-01-01 06:10:00-06:00,2023-01-01 08:06:00-06:00,False,116.0,0.0,2023-01-01 06:00:00-06:00,2023-01-01 08:00:00-06:00,24,32,208AN,208AN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
2023-01-01,MQ,N252NN,4153,GJT,DFW,610,609.0,927,912.0,0.0,0.0,137.0,123.0,97.0,773.0,America/Denver,America/Chicago,2023-01-01 07:10:00-06:00,2023-01-01 09:27:00-06:00,False,137.0,0.0,2023-01-01 07:00:00-06:00,2023-01-01 09:15:00-06:00,28,37,252NN,252NN,3260415,3260415,EMBRAER S A,ERJ 170-200 LR,ERJ175
